Hashtag,Title,Publication Date,Link
#AdivasiRights,"Rahul Gandhi stands up for tribal rights, champions Adivasi ownership of forests | The Federal",2024-05-08,https://www.youtube.com/watch?v=oaLxruoa1GM
#AdivasiRights,Inside a march by Adivasis in Nagarahole who are fighting for forest rights,2023-05-09,https://www.youtube.com/watch?v=pbzGn27luDM
#AdivasiRights,"CEDE- ADIVASI RIGHTS, CONSTITUTION, PESA AND FRA- DISCUSSION WITH ADV RAJNI SOREN",2024-05-08,https://www.youtube.com/watch?v=i_IpXRJUs0Q
#AdivasiRights,Eco India: How Gujarat's Adivasi communities claimed property rights with the aid of simple GPS tech,2021-05-09,https://www.youtube.com/watch?v=HZiC3mW_Qbo
#AdivasiRights,Ganatantra S02 E07: The struggle for Adivasi Rights (feat. Rajni Soren),2020-05-09,https://www.youtube.com/watch?v=7ITmxRWYF60
#AdivasiRights,Why Adivasis Want the Forest Rights Act Implemented,2018-05-10,https://www.youtube.com/watch?v=wWSCluS0mng
#AdivasiRights,Watch What Dalit & Adivasi Rights Activist Ashok Bharti Said On CM Washing Feet Of Urination Victim,2024-05-08,https://www.youtube.com/watch?v=Ij32EaYHEE4
#AdivasiRights,Adivasi March for their Rights | The Policy Times,2019-05-10,https://www.youtube.com/watch?v=64Sk0ZJL2Ys
#AdivasiRights,"Will support party that implements Forest Rights Act, 2006: Adivasi federation",2016-05-10,https://www.youtube.com/watch?v=wEemFHnuVAg
#AdivasiRights,The Life and Struggles of Adivasi Women,2018-05-10,https://www.youtube.com/watch?v=omtPKBucpb4
#AdivasiRights,"Memory, Resistance, and Adivasi Land Rights: A Digital Narrative Analysis of Pada",2025-02-07,https://www.youtube.com/watch?v=Q1qfeKRjVRc
#AdivasiRights,Child rights commission against forced conversion of religion among adivasi kids,2020-05-09,https://www.youtube.com/watch?v=WLyW0CXKB_s
#AdivasiRights,Rahul Gandhi Bats For Tribal Rights With 'Adivasi Not Vanvasi' Pitch| Slams BJP's 'Perverted' Logic,2024-05-08,https://www.youtube.com/watch?v=X2l7W38E5-Y
#AdivasiRights,What is the importance of Adivasi Awaaz? | Rights Con 2021 | Lightening Talk | Virtual Conference,2022-05-09,https://www.youtube.com/watch?v=EMfGX2o70bQ
#AdivasiRights,Adivasi March for their Rights | Prof. Ratan Lal,2019-05-10,https://www.youtube.com/watch?v=XzTjukNymrs
#AdivasiRights,CJP in Sonbhadra: Defending Adivasi Human Rights Activists in Courts,2020-05-09,https://www.youtube.com/watch?v=83g0X-pBTXo
#AdivasiRights,Adivasi March for their Rights | Prof. Nandita Narayan,2019-05-10,https://www.youtube.com/watch?v=LZXK_R4dpeU
#AdivasiRights,"Looking around, not looking down: What Adivasi lives can teach us | Nandini Sundar | TEDxDTU",2017-05-10,https://www.youtube.com/watch?v=izn5S4iYQqs
#AdivasiRights,Adivasis Are Not Naxals: Common Misconception About India's Tribal Communities,2020-05-09,https://www.youtube.com/watch?v=3gu90ci8nlI
#AdivasiRights,Adivasi Movement Rise Again Over Their Rights In Adilabad | Inside,2020-05-09,https://www.youtube.com/watch?v=gNLG3vQatek
#AdivasiRights,Jaipal Singh Munda: The hockey champ who spoke up for Adivasi rights,2024-05-08,https://www.youtube.com/watch?v=y5k7ab7buqs
